player_name,current_team,season,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
"Kevon Looney","GSW","2022-23","26","GSW","NBA","C","82","70","23.9","3.0","4.7",".630","0.0","0.0",".000","3.0",".632",".630","1.1","1.9",".606","3.3","5.9","9.3","2.5","0.6","0.6","0.5","2.7","7.0",""
"De'Anthony Melton","GSW","2024-25","26","GSW","NBA","SG","6","2","20.2","3.7","9.0",".407","2.2","5.8",".371","1.5",".474",".528","0.8","1.3",".625","1.0","2.3","3.3","2.8","1.2","0.3","1.7","3.0","10.3",""
"De'Anthony Melton","GSW","2023-24","25","PHI","NBA","SG","38","33","26.9","3.7","9.5",".386","2.0","5.6",".360","1.6",".425",".493","1.7","2.1",".835","0.7","3.0","3.7","3.0","1.6","0.4","1.0","2.2","11.1",""
"De'Anthony Melton","GSW","2022-23","24","PHI","NBA","SG","77","58","27.9","3.6","8.5",".425","2.0","5.2",".390","1.6",".484",".546","0.9","1.1",".793","0.9","3.2","4.1","2.6","1.6","0.5","1.3","2.5","10.1",""
"Moses Moody","GSW","2024-25","22","GSW","NBA","SG","74","34","22.3","3.3","7.7",".433","1.7","4.6",".374","1.6",".519",".544","1.4","1.8",".797","0.7","1.9","2.6","1.3","0.8","0.4","0.7","1.6","9.8",""
"Moses Moody","GSW","2023-24","21","GSW","NBA","SG","66","9","17.5","2.9","6.4",".462","1.1","3.0",".360","1.8",".555",".548","1.1","1.4",".785","1.0","2.0","3.0","0.9","0.6","0.4","0.7","1.4","8.1",""
"Moses Moody","GSW","2022-23","20","GSW","NBA","SG","63","3","13.0","1.7","3.6",".476","0.8","2.1",".363","0.9",".641",".584","0.6","0.8",".698","0.4","1.2","1.7","0.8","0.3","0.1","0.5","0.9","4.8",""
"Gary Payton II","GSW","2024-25","32","GSW","NBA","SG","62","11","15.0","2.8","4.8",".574","0.5","1.5",".326","2.3",".690",".626","0.4","0.6",".711","0.9","2.1","3.0","1.3","0.8","0.3","0.6","1.7","6.5",""
"Gary Payton II","GSW","2023-24","31","GSW","NBA","SG","44","0","15.5","2.3","4.2",".563","0.5","1.3",".364","1.9",".648",".617","0.3","0.5",".609","1.0","1.5","2.6","1.1","0.9","0.4","0.6","1.8","5.5",""
"Gary Payton II","GSW","2022-23","30","2TM","NBA","SG","22","1","16.7","1.9","3.1",".594","0.6","1.2",".500","1.3",".651",".688","0.3","0.3",".857","1.1","2.0","3.1","1.4","1.0","0.2","0.7","2.0","4.6",""
"Brandin Podziemski","GSW","2024-25","21","GSW","NBA","SG","64","33","26.8","4.4","9.8",".445","1.8","4.8",".372","2.6",".516",".537","1.1","1.5",".758","1.0","4.1","5.1","3.4","1.1","0.2","1.2","1.5","11.7",""
"Brandin Podziemski","GSW","2023-24","20","GSW","NBA","SG","74","28","26.6","3.7","8.1",".454","1.2","3.2",".385","2.4",".499",".529","0.7","1.1",".633","1.6","4.2","5.8","3.7","0.8","0.2","1.2","1.6","9.2",""
"Quinten Post","GSW","2024-25","24","GSW","NBA","PF","42","14","16.3","2.9","6.5",".449","1.7","4.3",".408","1.2",".526",".582","0.5","0.6",".778","0.8","2.7","3.5","1.3","0.4","0.4","0.8","2.0","8.1",""
"Jackson Rowe","GSW","2024-25","28","GSW","NBA","PF","6","0","8.7","1.3","2.8",".471","0.5","1.7",".300","0.8",".714",".559","0.5","1.0",".500","0.5","1.3","1.8","0.7","0.7","0.0","0.2","0.7","3.7",""
"Gui Santos","GSW","2024-25","22","GSW","NBA","PF","56","2","13.6","1.5","3.2",".458","0.6","1.8",".330","0.9",".632",".553","0.5","0.8",".690","1.3","1.8","3.1","1.4","0.4","0.2","0.8","1.6","4.1",""
"Gui Santos","GSW","2023-24","21","GSW","NBA","PF","23","0","8.3","1.2","2.4",".509","0.4","1.2",".370","0.8",".643",".600","0.7","0.7",".941","0.7","1.4","2.1","0.6","0.2","0.1","0.3","1.0","3.6",""
"Dennis Schröder","3TM","2024-25","31","3TM","NBA","PG","75","49","28.1","4.5","11.0",".406","1.7","4.9",".342","2.8",".458",".483","2.4","2.9",".838","0.4","2.3","2.6","5.4","0.9","0.2","1.9","2.4","13.1",""
"Dennis Schröder","3TM","2023-24","30","2TM","NBA","PG","80","58","31.1","5.0","11.6",".435","1.7","4.6",".375","3.3",".474",".509","2.2","2.7",".836","0.5","2.5","3.0","6.1","0.8","0.2","1.9","2.1","14.0",""
"Dennis Schröder","3TM","2022-23","29","LAL","NBA","PG","66","50","30.1","4.1","9.8",".415","1.1","3.4",".329","3.0",".461",".472","3.3","3.8",".857","0.3","2.2","2.5","4.5","0.8","0.2","1.7","2.2","12.6",""
"Pat Spencer","GSW","2024-25","28","GSW","NBA","PG","39","0","6.4","1.1","2.6",".406","0.1","0.6",".227","0.9",".456",".431","0.3","0.4",".733","0.4","0.8","1.2","1.2","0.4","0.1","0.5","0.5","2.5",""
"Pat Spencer","GSW","2023-24","27","GSW","NBA","PG","6","0","4.3","0.3","0.7",".500","0.0","0.3",".000","0.3","1.000",".500","0.0","0.0","","0.3","0.3","0.7","0.8","0.0","0.0","0.2","0.2","0.7",""
"Lindy Waters III","2TM","2024-25","27","2TM","NBA","SG","52","9","15.0","1.8","4.8",".369","1.2","3.6",".344","0.5",".444",".498","0.2","0.2",".727","0.4","1.7","2.1","1.0","0.5","0.2","0.4","1.2","4.9",""
"Lindy Waters III","2TM","2023-24","26","OKC","NBA","SG","38","0","7.4","1.3","2.7",".471","1.0","2.2",".435","0.3",".632",".649","0.1","0.1","1.000","0.2","0.9","1.1","0.6","0.1","0.2","0.2","0.6","3.6",""
