Year,Year ending,Local Government Area,Age Group,OTH Counter
2025,June,Whitehorse,25 - 34 years,323
2025,June,Whitehorse,35 - 44 years,420
2025,June,Whitehorse,45 - 54 years,320
2025,June,Whitehorse,55+ years,168
2025,June,Whittlesea,00 - 17 years,207
2025,June,Whittlesea,18 - 24 years,312
2025,June,Whittlesea,25 - 34 years,839
2025,June,Whittlesea,35 - 44 years,1020
2025,June,Whittlesea,45 - 54 years,599
2025,June,Whittlesea,55+ years,308
2025,June,Wodonga,00 - 17 years,142
2025,June,Wodonga,18 - 24 years,165
2025,June,Wodonga,25 - 34 years,262
2025,June,Wodonga,35 - 44 years,334
2025,June,Wodonga,45 - 54 years,128
2025,June,Wodonga,55+ years,70
2025,June,Wyndham,00 - 17 years,208
2025,June,Wyndham,18 - 24 years,534
2025,June,Wyndham,25 - 34 years,1257
2025,June,Wyndham,35 - 44 years,1287
2025,June,Wyndham,45 - 54 years,577
2025,June,Wyndham,55+ years,226
2025,June,Yarra,00 - 17 years,129
2025,June,Yarra,18 - 24 years,131
2025,June,Yarra,25 - 34 years,346
2025,June,Yarra,35 - 44 years,370
2025,June,Yarra,45 - 54 years,210
2025,June,Yarra,55+ years,135
2025,June,Yarra Ranges,00 - 17 years,165
2025,June,Yarra Ranges,18 - 24 years,172
2025,June,Yarra Ranges,25 - 34 years,430
2025,June,Yarra Ranges,35 - 44 years,605
2025,June,Yarra Ranges,45 - 54 years,431
2025,June,Yarra Ranges,55+ years,222
2025,June,Yarriambiack,00 - 17 years,10
2025,June,Yarriambiack,18 - 24 years,19
2025,June,Yarriambiack,25 - 34 years,28
2025,June,Yarriambiack,35 - 44 years,45
2025,June,Yarriambiack,45 - 54 years,35
2025,June,Yarriambiack,55+ years,19
2024,June,Alpine,00 - 17 years,5
2024,June,Alpine,18 - 24 years,23
2024,June,Alpine,25 - 34 years,26
2024,June,Alpine,35 - 44 years,35
2024,June,Alpine,45 - 54 years,25
2024,June,Alpine,55+ years,12
2024,June,Ararat,00 - 17 years,33
2024,June,Ararat,18 - 24 years,33
2024,June,Ararat,25 - 34 years,111
2024,June,Ararat,35 - 44 years,61
2024,June,Ararat,45 - 54 years,47
2024,June,Ararat,55+ years,40
2024,June,Ballarat,00 - 17 years,234
2024,June,Ballarat,18 - 24 years,356
2024,June,Ballarat,25 - 34 years,698
2024,June,Ballarat,35 - 44 years,637
2024,June,Ballarat,45 - 54 years,419
2024,June,Ballarat,55+ years,202
2024,June,Banyule,00 - 17 years,115
2024,June,Banyule,18 - 24 years,144
2024,June,Banyule,25 - 34 years,306
2024,June,Banyule,35 - 44 years,383
2024,June,Banyule,45 - 54 years,286
2024,June,Banyule,55+ years,160
2024,June,Bass Coast,00 - 17 years,121
2024,June,Bass Coast,18 - 24 years,125
2024,June,Bass Coast,25 - 34 years,163
2024,June,Bass Coast,35 - 44 years,209
2024,June,Bass Coast,45 - 54 years,148
2024,June,Bass Coast,55+ years,93
2024,June,Baw Baw,00 - 17 years,113
2024,June,Baw Baw,18 - 24 years,104
2024,June,Baw Baw,25 - 34 years,287
2024,June,Baw Baw,35 - 44 years,394
2024,June,Baw Baw,45 - 54 years,247
2024,June,Baw Baw,55+ years,134
2024,June,Bayside,00 - 17 years,51
2024,June,Bayside,18 - 24 years,63
2024,June,Bayside,25 - 34 years,111
2024,June,Bayside,35 - 44 years,200
2024,June,Bayside,45 - 54 years,200
2024,June,Bayside,55+ years,107
2024,June,Benalla,00 - 17 years,27
2024,June,Benalla,18 - 24 years,40
2024,June,Benalla,25 - 34 years,102
2024,June,Benalla,35 - 44 years,103
2024,June,Benalla,45 - 54 years,56
2024,June,Benalla,55+ years,26
2024,June,Boroondara,00 - 17 years,94
2024,June,Boroondara,18 - 24 years,113
