Year,Year ending,Local Government Area,OTH Sex,OTH Counter
2022,June,Ararat,Males,203
2022,June,Ballarat,Females,525
2022,June,Ballarat,Males,1512
2022,June,Banyule,Females,273
2022,June,Banyule,Males,919
2022,June,Bass Coast,Females,295
2022,June,Bass Coast,Males,581
2022,June,Baw Baw,Females,254
2022,June,Baw Baw,Males,692
2022,June,Bayside,Females,210
2022,June,Bayside,Males,547
2022,June,Benalla,Females,76
2022,June,Benalla,Males,285
2022,June,Boroondara,Females,324
2022,June,Boroondara,Males,698
2022,June,Brimbank,Females,599
2022,June,Brimbank,Males,2151
2022,June,Buloke,Females,18
2022,June,Buloke,Males,61
2022,June,Campaspe,Females,187
2022,June,Campaspe,Males,700
2022,June,Cardinia,Females,410
2022,June,Cardinia,Males,1163
2022,June,Casey,Females,1218
2022,June,Casey,Males,3777
2022,June,Central Goldfields,Females,96
2022,June,Central Goldfields,Males,243
2022,June,Colac-Otway,Females,85
2022,June,Colac-Otway,Males,308
2022,June,Corangamite,Females,33
2022,June,Corangamite,Males,130
2022,June,Darebin,Females,408
2022,June,Darebin,Males,1216
2022,June,East Gippsland,Females,457
2022,June,East Gippsland,Males,1187
2022,June,Frankston,Females,665
2022,June,Frankston,Males,1941
2022,June,Gannawarra,Females,42
2022,June,Gannawarra,Males,119
2022,June,Glen Eira,Females,307
2022,June,Glen Eira,Males,886
2022,June,Glenelg,Females,100
2022,June,Glenelg,Males,313
2022,June,Golden Plains,Females,55
2022,June,Golden Plains,Males,122
2022,June,Greater Bendigo,Females,575
2022,June,Greater Bendigo,Males,1646
2022,June,Greater Dandenong,Females,577
2022,June,Greater Dandenong,Males,1936
2022,June,Greater Geelong,Females,1197
2022,June,Greater Geelong,Males,3182
2022,June,Greater Shepparton,Females,388
2022,June,Greater Shepparton,Males,1337
2022,June,Hepburn,Females,40
2022,June,Hepburn,Males,140
2022,June,Hindmarsh,Females,19
2022,June,Hindmarsh,Males,62
2022,June,Hobsons Bay,Females,247
2022,June,Hobsons Bay,Males,779
2022,June,Horsham,Females,133
2022,June,Horsham,Males,378
2022,June,Hume,Females,883
2022,June,Hume,Males,2861
2022,June,Indigo,Females,38
2022,June,Indigo,Males,153
2022,June,Kingston,Females,499
2022,June,Kingston,Males,1346
2022,June,Knox,Females,508
2022,June,Knox,Males,1426
2022,June,Latrobe,Females,705
