Year,Year ending,Police Region,Local Government Area,Family Incidents,"Rate per 100,000 population"
2023,June,4 Western, Hepburn,172,1031.8
2023,June,4 Western, Hindmarsh,88,1583.0
2023,June,4 Western, Horsham,592,2914.5
2023,June,4 Western, Loddon,120,1549.0
2023,June,4 Western, Macedon Ranges,471,890.1
2023,June,4 Western, Mildura,1941,3372.5
2023,June,4 Western, Moorabool,543,1389.3
2023,June,4 Western, Mount Alexander,233,1132.4
2023,June,4 Western, Moyne,176,999.5
2023,June,4 Western, Northern Grampians,297,2500.4
2023,June,4 Western, Pyrenees,98,1258.8
2023,June,4 Western, Queenscliffe,10,308.8
2023,June,4 Western, Southern Grampians,284,1724.6
2023,June,4 Western, Surf Coast,269,684.7
2023,June,4 Western, Swan Hill,579,2729.8
2023,June,4 Western, Warrnambool,730,2033.1
2023,June,4 Western, West Wimmera,42,1068.2
2023,June,4 Western, Yarriambiack,123,1925.5
2023,June,4 Western,Total,19277,1796.1
2023,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,190,
2023,June,Justice Institutions and Immigration Facilities,Total,190,
2023,June,Unincorporated Vic, Unincorporated Vic,11,
2023,June,Unincorporated Vic,Total,11,
2022,June,1 North West Metro, Banyule,1193,936.2
2022,June,1 North West Metro, Brimbank,2754,1424.1
2022,June,1 North West Metro, Darebin,1627,1080.3
2022,June,1 North West Metro, Hobsons Bay,1028,1119.0
2022,June,1 North West Metro, Hume,3760,1485.1
2022,June,1 North West Metro, Maribyrnong,1024,1168.9
2022,June,1 North West Metro, Melbourne,2168,1352.2
2022,June,1 North West Metro, Melton,2876,1488.0
2022,June,1 North West Metro, Merri-bek,1996,1141.3
2022,June,1 North West Metro, Moonee Valley,1204,977.9
2022,June,1 North West Metro, Nillumbik,455,721.5
2022,June,1 North West Metro, Whittlesea,2951,1244.4
2022,June,1 North West Metro, Wyndham,4033,1303.5
2022,June,1 North West Metro, Yarra,1128,1220.9
2022,June,1 North West Metro,Total,28197,1248.9
2022,June,2 Eastern, Alpine,141,1068.9
2022,June,2 Eastern, Bass Coast,877,2097.4
2022,June,2 Eastern, Baw Baw,946,1595.9
2022,June,2 Eastern, Benalla,361,2496.0
2022,June,2 Eastern, Boroondara,1023,603.1
2022,June,2 Eastern, East Gippsland,1646,3363.4
2022,June,2 Eastern, Greater Shepparton,1725,2501.3
2022,June,2 Eastern, Indigo,191,1096.1
2022,June,2 Eastern, Knox,1937,1214.0
2022,June,2 Eastern, Latrobe,2556,3289.4
2022,June,2 Eastern, Manningham,949,749.8
2022,June,2 Eastern, Mansfield,122,1180.1
2022,June,2 Eastern, Maroondah,1387,1198.2
2022,June,2 Eastern, Mitchell,984,1904.0
2022,June,2 Eastern, Moira,480,1569.4
2022,June,2 Eastern, Monash,1950,999.6
2022,June,2 Eastern, Murrindindi,217,1413.4
2022,June,2 Eastern, South Gippsland,540,1758.5
2022,June,2 Eastern, Strathbogie,166,1441.6
2022,June,2 Eastern, Towong,32,516.3
2022,June,2 Eastern, Wangaratta,618,2065.9
2022,June,2 Eastern, Wellington,1218,2658.3
2022,June,2 Eastern, Whitehorse,1375,796.6
2022,June,2 Eastern, Wodonga,918,2099.9
2022,June,2 Eastern, Yarra Ranges,1965,1247.9
2022,June,2 Eastern,Total,24324,1418.9
2022,June,3 Southern Metro, Bayside,759,742.4
2022,June,3 Southern Metro, Cardinia,1576,1279.4
2022,June,3 Southern Metro, Casey,5007,1320.7
2022,June,3 Southern Metro, Frankston,2608,1847.5
2022,June,3 Southern Metro, Glen Eira,1197,788.4
2022,June,3 Southern Metro, Greater Dandenong,2517,1580.1
2022,June,3 Southern Metro, Kingston,1845,1152.4
2022,June,3 Southern Metro, Mornington Peninsula,2041,1202.5
2022,June,3 Southern Metro, Port Phillip,1402,1346.8
2022,June,3 Southern Metro, Stonnington,893,838.3
2022,June,3 Southern Metro,Total,19845,1242.4
2022,June,4 Western, Ararat,265,2253.8
2022,June,4 Western, Ballarat,2041,1759.3
2022,June,4 Western, Buloke,79,1290.8
2022,June,4 Western, Campaspe,887,2300.5
2022,June,4 Western, Central Goldfields,339,2507.4
2022,June,4 Western, Colac-Otway,393,1770.4
2022,June,4 Western, Corangamite,163,1018.8
2022,June,4 Western, Gannawarra,161,1528.4
2022,June,4 Western, Glenelg,413,2060.0
2022,June,4 Western, Golden Plains,177,699.0
2022,June,4 Western, Greater Bendigo,2226,1814.1
2022,June,4 Western, Greater Geelong,4388,1586.4
2022,June,4 Western, Hepburn,181,1092.1
2022,June,4 Western, Hindmarsh,81,1446.2
2022,June,4 Western, Horsham,511,2511.3
2022,June,4 Western, Loddon,119,1535.5
2022,June,4 Western, Macedon Ranges,466,892.7
2022,June,4 Western, Mildura,1991,3477.7
2022,June,4 Western, Moorabool,488,1266.7
2022,June,4 Western, Mount Alexander,185,910.3
2022,June,4 Western, Moyne,174,995.5
2022,June,4 Western, Northern Grampians,273,2298.2
2022,June,4 Western, Pyrenees,87,1136.8
2022,June,4 Western, Queenscliffe,14,434.6
2022,June,4 Western, Southern Grampians,240,1463.3
2022,June,4 Western, Surf Coast,304,786.1
2022,June,4 Western, Swan Hill,604,2843.8
2022,June,4 Western, Warrnambool,650,1827.1
2022,June,4 Western, West Wimmera,46,1166.6
2022,June,4 Western, Yarriambiack,97,1506.9
2022,June,4 Western,Total,18043,1701.5
2022,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,111,
2022,June,Justice Institutions and Immigration Facilities,Total,111,
2022,June,Unincorporated Vic, Unincorporated Vic,11,
2022,June,Unincorporated Vic,Total,11,
2021,June,1 North West Metro, Banyule,1360,1067.8
2021,June,1 North West Metro, Brimbank,2989,1520.1
2021,June,1 North West Metro, Darebin,1871,1244.9
2021,June,1 North West Metro, Hobsons Bay,1086,1177.0
2021,June,1 North West Metro, Hume,4183,1694.1
2021,June,1 North West Metro, Maribyrnong,968,1120.6
2021,June,1 North West Metro, Melbourne,2138,1396.4
2021,June,1 North West Metro, Melton,3088,1702.8
2021,June,1 North West Metro, Merri-bek,1942,1119.3
2021,June,1 North West Metro, Moonee Valley,1234,1003.7
2021,June,1 North West Metro, Nillumbik,506,797.5
2021,June,1 North West Metro, Whittlesea,3306,1426.0
2021,June,1 North West Metro, Wyndham,3975,1341.4
2021,June,1 North West Metro, Yarra,1158,1265.3
2021,June,1 North West Metro,Total,29804,1346.2
2021,June,2 Eastern, Alpine,154,1169.7
2021,June,2 Eastern, Bass Coast,967,2377.4
2021,June,2 Eastern, Baw Baw,1028,1784.2
2021,June,2 Eastern, Benalla,388,2687.7
2021,June,2 Eastern, Boroondara,990,583.1
2021,June,2 Eastern, East Gippsland,1567,3232.5
2021,June,2 Eastern, Greater Shepparton,1623,2368.4
2021,June,2 Eastern, Indigo,158,915.9
2021,June,2 Eastern, Knox,1948,1213.9
2021,June,2 Eastern, Latrobe,2522,3270.4
2021,June,2 Eastern, Manningham,915,727.2
2021,June,2 Eastern, Mansfield,122,1205.4
2021,June,2 Eastern, Maroondah,1407,1212.1
2021,June,2 Eastern, Mitchell,1223,2460.2
2021,June,2 Eastern, Moira,495,1630.1
2021,June,2 Eastern, Monash,1808,937.3
2021,June,2 Eastern, Murrindindi,208,1373.9
2021,June,2 Eastern, South Gippsland,532,1750.7
2021,June,2 Eastern, Strathbogie,183,1609.8
2021,June,2 Eastern, Towong,66,1066.9
2021,June,2 Eastern, Wangaratta,634,2131.0
2021,June,2 Eastern, Wellington,1343,2953.7
2021,June,2 Eastern, Whitehorse,1461,854.0
2021,June,2 Eastern, Wodonga,769,1779.8
2021,June,2 Eastern, Yarra Ranges,1727,1097.1
2021,June,2 Eastern,Total,24238,1423.6
2021,June,3 Southern Metro, Bayside,751,733.9
2021,June,3 Southern Metro, Cardinia,1550,1296.3
2021,June,3 Southern Metro, Casey,5490,1485.6
2021,June,3 Southern Metro, Frankston,2723,1933.6
2021,June,3 Southern Metro, Glen Eira,1087,721.6
2021,June,3 Southern Metro, Greater Dandenong,2791,1743.3
2021,June,3 Southern Metro, Kingston,1692,1060.5
2021,June,3 Southern Metro, Mornington Peninsula,2158,1266.1
2021,June,3 Southern Metro, Port Phillip,1394,1347.7
2021,June,3 Southern Metro, Stonnington,1010,951.1
2021,June,3 Southern Metro,Total,20646,1304.5
2021,June,4 Western, Ararat,333,2815.6
2021,June,4 Western, Ballarat,2367,2085.4
2021,June,4 Western, Buloke,72,1174.2
2021,June,4 Western, Campaspe,781,2025.6
2021,June,4 Western, Central Goldfields,320,2390.2
2021,June,4 Western, Colac-Otway,418,1873.7
2021,June,4 Western, Corangamite,147,917.0
2021,June,4 Western, Gannawarra,190,1789.9
2021,June,4 Western, Glenelg,428,2133.8
2021,June,4 Western, Golden Plains,188,755.3
2021,June,4 Western, Greater Bendigo,2528,2084.6
2021,June,4 Western, Greater Geelong,4317,1593.4
2021,June,4 Western, Hepburn,168,1019.1
2021,June,4 Western, Hindmarsh,110,1944.8
2021,June,4 Western, Horsham,543,2664.9
2021,June,4 Western, Loddon,137,1778.5
2021,June,4 Western, Macedon Ranges,444,860.5
2021,June,4 Western, Mildura,1635,2870.1
2021,June,4 Western, Moorabool,509,1342.7
2021,June,4 Western, Mount Alexander,201,999.3
2021,June,4 Western, Moyne,191,1104.3
2021,June,4 Western, Northern Grampians,297,2498.7
2021,June,4 Western, Pyrenees,112,1470.0
2021,June,4 Western, Queenscliffe,15,463.5
2021,June,4 Western, Southern Grampians,306,1855.4
2021,June,4 Western, Surf Coast,294,780.9
2021,June,4 Western, Swan Hill,679,3175.7
2021,June,4 Western, Warrnambool,638,1800.6
2021,June,4 Western, West Wimmera,42,1055.8
2021,June,4 Western, Yarriambiack,105,1612.9
2021,June,4 Western,Total,18515,1767.0
2021,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,189,
2021,June,Justice Institutions and Immigration Facilities,Total,189,
2021,June,Unincorporated Vic, Unincorporated Vic,5,
2021,June,Unincorporated Vic,Total,5,
