Year,Year ending,Local Government Area,AFM Sex,AFM Counter
2022,June,Benalla,Males,86
2022,June,Boroondara,Females,699
2022,June,Boroondara,Males,324
2022,June,Brimbank,Females,2072
2022,June,Brimbank,Males,680
2022,June,Buloke,Females,62
2022,June,Buloke,Males,17
2022,June,Campaspe,Females,672
2022,June,Campaspe,Males,214
2022,June,Cardinia,Females,1199
2022,June,Cardinia,Males,375
2022,June,Casey,Females,3735
2022,June,Casey,Males,1268
2022,June,Central Goldfields,Females,243
2022,June,Central Goldfields,Males,96
2022,June,Colac-Otway,Females,304
2022,June,Colac-Otway,Males,89
2022,June,Corangamite,Females,116
2022,June,Corangamite,Males,47
2022,June,Darebin,Females,1191
2022,June,Darebin,Males,435
2022,June,East Gippsland,Females,1260
2022,June,East Gippsland,Males,382
2022,June,Frankston,Females,1978
2022,June,Frankston,Males,628
2022,June,Gannawarra,Females,121
2022,June,Gannawarra,Males,40
2022,June,Glen Eira,Females,819
2022,June,Glen Eira,Males,378
2022,June,Glenelg,Females,319
2022,June,Glenelg,Males,94
2022,June,Golden Plains,Females,124
2022,June,Golden Plains,Males,53
2022,June,Greater Bendigo,Females,1685
2022,June,Greater Bendigo,Males,538
2022,June,Greater Dandenong,Females,1876
2022,June,Greater Dandenong,Males,640
2022,June,Greater Geelong,Females,3348
2022,June,Greater Geelong,Males,1036
2022,June,Greater Shepparton,Females,1335
2022,June,Greater Shepparton,Males,388
2022,June,Hepburn,Females,135
2022,June,Hepburn,Males,46
2022,June,Hindmarsh,Females,55
2022,June,Hindmarsh,Males,26
2022,June,Hobsons Bay,Females,774
2022,June,Hobsons Bay,Males,253
2022,June,Horsham,Females,372
2022,June,Horsham,Males,139
2022,June,Hume,Females,2851
2022,June,Hume,Males,901
2022,June,Indigo,Females,142
2022,June,Indigo,Males,49
2022,June,Kingston,Females,1382
2022,June,Kingston,Males,460
2022,June,Knox,Females,1399
2022,June,Knox,Males,535
2022,June,Latrobe,Females,1935
2022,June,Latrobe,Males,620
2022,June,Loddon,Females,89
2022,June,Loddon,Males,30
2022,June,Macedon Ranges,Females,342
