Year,Year ending,Local Government Area,Age Group,AFM Counter
2025,June,Whittlesea,00 - 17 years,155
2025,June,Whittlesea,18 - 24 years,328
2025,June,Whittlesea,25 - 34 years,760
2025,June,Whittlesea,35 - 44 years,985
2025,June,Whittlesea,45 - 54 years,568
2025,June,Whittlesea,55+ years,482
2025,June,Wodonga,00 - 17 years,118
2025,June,Wodonga,18 - 24 years,136
2025,June,Wodonga,25 - 34 years,267
2025,June,Wodonga,35 - 44 years,293
2025,June,Wodonga,45 - 54 years,157
2025,June,Wodonga,55+ years,137
2025,June,Wyndham,00 - 17 years,253
2025,June,Wyndham,18 - 24 years,494
2025,June,Wyndham,25 - 34 years,1168
2025,June,Wyndham,35 - 44 years,1229
2025,June,Wyndham,45 - 54 years,558
2025,June,Wyndham,55+ years,400
2025,June,Yarra,00 - 17 years,101
2025,June,Yarra,18 - 24 years,125
2025,June,Yarra,25 - 34 years,359
2025,June,Yarra,35 - 44 years,332
2025,June,Yarra,45 - 54 years,243
2025,June,Yarra,55+ years,170
2025,June,Yarra Ranges,00 - 17 years,220
2025,June,Yarra Ranges,18 - 24 years,204
2025,June,Yarra Ranges,25 - 34 years,342
2025,June,Yarra Ranges,35 - 44 years,481
2025,June,Yarra Ranges,45 - 54 years,393
2025,June,Yarra Ranges,55+ years,356
2025,June,Yarriambiack,00 - 17 years,17
2025,June,Yarriambiack,18 - 24 years,20
2025,June,Yarriambiack,25 - 34 years,30
2025,June,Yarriambiack,35 - 44 years,34
2025,June,Yarriambiack,45 - 54 years,28
2025,June,Yarriambiack,55+ years,24
2024,June,Alpine,00 - 17 years,20
2024,June,Alpine,18 - 24 years,16
2024,June,Alpine,25 - 34 years,20
2024,June,Alpine,35 - 44 years,32
2024,June,Alpine,45 - 54 years,21
2024,June,Alpine,55+ years,17
2024,June,Ararat,00 - 17 years,33
2024,June,Ararat,18 - 24 years,33
2024,June,Ararat,25 - 34 years,105
2024,June,Ararat,35 - 44 years,41
2024,June,Ararat,45 - 54 years,48
2024,June,Ararat,55+ years,59
2024,June,Ballarat,00 - 17 years,276
2024,June,Ballarat,18 - 24 years,359
2024,June,Ballarat,25 - 34 years,592
2024,June,Ballarat,35 - 44 years,604
2024,June,Ballarat,45 - 54 years,435
2024,June,Ballarat,55+ years,284
2024,June,Banyule,00 - 17 years,100
2024,June,Banyule,18 - 24 years,132
2024,June,Banyule,25 - 34 years,254
2024,June,Banyule,35 - 44 years,348
2024,June,Banyule,45 - 54 years,294
2024,June,Banyule,55+ years,270
2024,June,Bass Coast,00 - 17 years,110
2024,June,Bass Coast,18 - 24 years,96
2024,June,Bass Coast,25 - 34 years,152
2024,June,Bass Coast,35 - 44 years,192
2024,June,Bass Coast,45 - 54 years,148
2024,June,Bass Coast,55+ years,154
2024,June,Baw Baw,00 - 17 years,162
2024,June,Baw Baw,18 - 24 years,99
2024,June,Baw Baw,25 - 34 years,285
2024,June,Baw Baw,35 - 44 years,348
2024,June,Baw Baw,45 - 54 years,183
2024,June,Baw Baw,55+ years,204
2024,June,Bayside,00 - 17 years,96
2024,June,Bayside,18 - 24 years,48
2024,June,Bayside,25 - 34 years,110
2024,June,Bayside,35 - 44 years,146
2024,June,Bayside,45 - 54 years,179
2024,June,Bayside,55+ years,158
2024,June,Benalla,00 - 17 years,32
2024,June,Benalla,18 - 24 years,39
2024,June,Benalla,25 - 34 years,63
2024,June,Benalla,35 - 44 years,95
2024,June,Benalla,45 - 54 years,49
2024,June,Benalla,55+ years,66
2024,June,Boroondara,00 - 17 years,183
2024,June,Boroondara,18 - 24 years,97
2024,June,Boroondara,25 - 34 years,201
2024,June,Boroondara,35 - 44 years,195
2024,June,Boroondara,45 - 54 years,198
2024,June,Boroondara,55+ years,182
2024,June,Brimbank,00 - 17 years,164
2024,June,Brimbank,18 - 24 years,322
2024,June,Brimbank,25 - 34 years,646
2024,June,Brimbank,35 - 44 years,759
2024,June,Brimbank,45 - 54 years,485
2024,June,Brimbank,55+ years,576
2024,June,Buloke,00 - 17 years,7
2024,June,Buloke,18 - 24 years,2
2024,June,Buloke,25 - 34 years,17
2024,June,Buloke,35 - 44 years,24
2024,June,Buloke,45 - 54 years,2
2024,June,Buloke,55+ years,7
2024,June,Campaspe,00 - 17 years,78
2024,June,Campaspe,18 - 24 years,106
2024,June,Campaspe,25 - 34 years,194
2024,June,Campaspe,35 - 44 years,193
2024,June,Campaspe,45 - 54 years,112
2024,June,Campaspe,55+ years,138
2024,June,Cardinia,00 - 17 years,162
2024,June,Cardinia,18 - 24 years,159
2024,June,Cardinia,25 - 34 years,417
2024,June,Cardinia,35 - 44 years,495
2024,June,Cardinia,45 - 54 years,260
2024,June,Cardinia,55+ years,180
2024,June,Casey,00 - 17 years,439
2024,June,Casey,18 - 24 years,657
2024,June,Casey,25 - 34 years,1418
2024,June,Casey,35 - 44 years,1593
2024,June,Casey,45 - 54 years,862
2024,June,Casey,55+ years,701
2024,June,Central Goldfields,00 - 17 years,34
2024,June,Central Goldfields,18 - 24 years,37
2024,June,Central Goldfields,25 - 34 years,94
2024,June,Central Goldfields,35 - 44 years,74
2024,June,Central Goldfields,45 - 54 years,71
2024,June,Central Goldfields,55+ years,44
2024,June,Colac-Otway,00 - 17 years,41
2024,June,Colac-Otway,18 - 24 years,72
2024,June,Colac-Otway,25 - 34 years,93
2024,June,Colac-Otway,35 - 44 years,112
2024,June,Colac-Otway,45 - 54 years,63
2024,June,Colac-Otway,55+ years,65
2024,June,Corangamite,00 - 17 years,9
2024,June,Corangamite,18 - 24 years,33
2024,June,Corangamite,25 - 34 years,52
2024,June,Corangamite,35 - 44 years,55
2024,June,Corangamite,45 - 54 years,28
2024,June,Corangamite,55+ years,35
2024,June,Darebin,00 - 17 years,89
2024,June,Darebin,18 - 24 years,177
2024,June,Darebin,25 - 34 years,410
2024,June,Darebin,35 - 44 years,399
